STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
844520,99999, 20170102,   73.7,24,   65.9,24, 1011.7, 7, 1008.2, 7,   5.8, 9,  13.9,24,  28.0, 999.9,   84.2 ,  66.2*, 0.00I,999.9, 000000,
844520,99999, 20170103,   72.7,24,   65.9,24, 1010.1, 8, 1006.7, 8,   6.2, 8,  12.8,24,  24.1, 999.9,   84.2 ,  67.8 , 0.00I,999.9, 000000,
844520,99999, 20170104,   73.7,24,   65.0,24, 1009.5, 8, 1006.0, 8,   6.2, 8,   9.9,24,  18.1, 999.9,   84.9*,  67.6 , 0.00I,999.9, 000000,
844520,99999, 20170105,   74.9,24,   65.5,24, 1011.0, 8, 1007.3, 8,   6.2,15,   9.0,24,  15.0, 999.9,   86.0*,  69.8 , 0.00I,999.9, 000000,
844520,99999, 20170106,   76.4,24,   65.5,24, 1011.1, 7, 1007.6, 7,   6.2,11,   8.2,24,  17.1, 999.9,   85.5 ,  69.8 , 0.00I,999.9, 000000,
844520,99999, 20170107,   75.7,24,   66.1,24, 1011.0, 8, 1007.5, 8,   6.2, 8,  10.2,24,  17.1, 999.9,   86.0*,  69.1*, 0.00I,999.9, 000000,
844520,99999, 20170108,   76.3,24,   71.1,24, 1012.8, 7, 1009.3, 7,   6.2,20,   8.7,24,  17.1, 999.9,   86.0 ,  72.3 , 0.00I,999.9, 000000,
844520,99999, 20170109,   76.6,24,   67.9,24, 1012.8, 8, 1009.2, 8,   6.0,10,   9.2,24,  19.0, 999.9,   86.0*,  69.4 , 0.00I,999.9, 000000,
844520,99999, 20170110,   77.7,24,   67.8,24, 1011.4, 8, 1007.9, 8,   6.2,13,  10.9,24,  17.1, 999.9,   87.8*,  69.8 , 0.00I,999.9, 000000,
844520,99999, 20170111,   75.4,24,   69.2,24, 1011.0, 8, 1007.5, 8,   6.2,12,  11.7,24,  19.0, 999.9,   88.0 ,  69.4 , 0.00I,999.9, 000000,
844520,99999, 20170112,   74.7,19,   68.6,19, 9999.9, 0, 9999.9, 0,   5.7, 8,  10.3,19,  17.1, 999.9,   82.4*,  66.2*, 0.00I,999.9, 000000,
844520,99999, 20170113,   76.6,24,   68.9,24, 1011.4, 7, 1007.9, 7,   6.2, 7,  13.2,24,  17.1, 999.9,   84.6 ,  69.8*, 0.00I,999.9, 000000,
844520,99999, 20170114,   75.2,24,   69.2,23, 1011.3, 8, 1007.9, 8,   6.2,15,  10.7,24,  17.1, 999.9,   86.0 ,  69.4 , 0.00I,999.9, 000000,
844520,99999, 20170115,   76.1,24,   69.4,24, 1011.1, 7, 1007.6, 7,   6.2, 8,   7.9,24,  15.9, 999.9,   86.0*,  71.1 , 0.00I,999.9, 000000,
844520,99999, 20170116,   78.2,24,   68.5,24, 1010.9, 8, 1007.4, 8,   6.2,15,   8.4,24,  15.0, 999.9,   87.8*,  71.6 , 0.00I,999.9, 000000,
844520,99999, 20170117,   78.5,24,   67.5,24, 1010.9, 8, 1007.4, 8,   6.2,12,  10.4,24,  15.0, 999.9,   88.5 ,  71.6*, 0.00I,999.9, 000000,
844520,99999, 20170118,   77.2,22,   69.9,22, 1011.6, 6, 1008.1, 6,   6.2,11,   9.4,22,  17.1, 999.9,   88.2 ,  70.9 , 0.00I,999.9, 000000,
844520,99999, 20170119,   76.6,24,   70.5,24, 1011.7, 7, 1008.2, 7,   5.9,11,  10.6,24,  18.1, 999.9,   87.8 ,  69.8*, 0.00I,999.9, 000000,
844520,99999, 20170120,   78.1,24,   70.3,24, 1012.9, 6, 1009.1, 7,   6.2, 8,   9.4,24,  15.9, 999.9,   87.8*,  72.7 , 0.00I,999.9, 000000,
844520,99999, 20170121,   78.8,24,   71.7,24, 1013.5, 7, 1010.0, 7,   6.2,12,   6.5,24,  13.0, 999.9,   89.6*,  73.4 , 0.00I,999.9, 000000,
844520,99999, 20170122,   79.5,24,   71.1,24, 1014.1, 7, 1010.6, 7,   6.1,17,   8.2,24,  17.1, 999.9,   90.3*,  72.9 , 0.04G,999.9, 010000,
844520,99999, 20170123,   79.1,24,   72.0,24, 1013.2, 6, 1009.7, 6,   6.2, 7,  11.5,24,  19.0, 999.9,   92.8 ,  73.4*, 0.00G,999.9, 000000,
844520,99999, 20170124,   78.3,24,   71.0,24, 1012.1, 8, 1008.6, 8,   6.0,12,   9.9,24,  15.9, 999.9,   87.8 ,  71.6*, 0.00I,999.9, 000000,
844520,99999, 20170125,   77.7,24,   71.4,24, 1011.8, 7, 1008.3, 7,   6.2, 9,   7.8,24,  15.0, 999.9,   87.8 ,  72.7 , 0.00I,999.9, 000000,
844520,99999, 20170126,   78.8,24,   70.5,24, 1012.8, 8, 1009.3, 8,   6.2,16,   5.8,24,  13.0, 999.9,   86.4*,  72.5 , 0.00I,999.9, 000000,
844520,99999, 20170127,   81.4,18,   71.1,18, 1012.7, 5, 1009.2, 5,   6.2,11,   8.9,18,  15.0, 999.9,   87.8*,  74.3 , 0.00I,999.9, 000000,
844520,99999, 20170128,   80.7,24,   72.5,24, 1010.3, 7, 1006.5, 7,   6.2,10,   8.0,24,  15.0, 999.9,   89.6 ,  75.2*, 0.00I,999.9, 000000,
844520,99999, 20170129,   81.0,24,   73.7,24, 1010.1, 8, 1006.7, 8,   6.2,15,   8.9,24,  15.9, 999.9,   89.6 ,  76.1 , 0.00I,999.9, 000000,
844520,99999, 20170130,   82.2,24,   72.2,24, 1011.6, 8, 1008.1, 8,   6.2,12,   6.7,24,  15.9, 999.9,   91.4*,  76.1 , 0.00I,999.9, 000000,
844520,99999, 20170131,   80.7,24,   72.2,24, 1011.8, 6, 1008.4, 6,   6.2,12,   5.4,24,  12.0, 999.9,   91.2 ,  75.2*,99.99 ,999.9, 010000,
844520,99999, 20170201,   79.4,24,   75.2,24, 1011.2, 7, 1007.8, 7,   6.1,24,   7.9,24,  13.0, 999.9,   86.0*,  74.1 , 0.08G,999.9, 010000,
844520,99999, 20170202,   77.2,24,   76.1,24, 1010.9, 5, 1007.4, 5,   5.6,24,   5.1,24,   9.9, 999.9,   87.8 ,  73.4 , 1.42G,999.9, 010000,
844520,99999, 20170203,   78.5,24,   76.2,24, 1010.4, 6, 1006.9, 6,   5.8,24,   6.1,24,   9.9, 999.9,   86.0*,  72.9*, 0.00G,999.9, 010000,
844520,99999, 20170204,   79.0,24,   76.7,23, 1010.1, 7, 1006.3, 8,   6.2,23,   4.3,23,   8.0, 999.9,   85.6 ,  75.2*, 0.00G,999.9, 010000,
844520,99999, 20170205,   78.7,24,   76.8,24, 1009.1, 5, 1005.6, 5,   6.1,23,   5.9,24,  14.0, 999.9,   84.4 ,  73.4 , 0.20G,999.9, 010000,
844520,99999, 20170206,   79.8,23,   77.4,23, 1008.8, 4, 1005.3, 4,   6.2,13,   8.1,23,  15.0, 999.9,   86.0*,  75.2 , 0.00G,999.9, 000000,
844520,99999, 20170207,   79.4,24,   76.1,23, 1008.0, 5, 1004.6, 5,   6.2,14,   9.3,24,  14.0, 999.9,   86.0 ,  75.7*, 0.00I,999.9, 000000,
844520,99999, 20170208,   79.6,24,   75.2,24, 1009.7, 6, 1006.2, 6,   6.1,24,   9.2,24,  15.9, 999.9,   87.8*,  74.7 , 0.31G,999.9, 010000,
844520,99999, 20170209,   79.4,24,   74.9,24, 1010.6, 7, 1007.2, 7,   6.2,19,   7.7,24,  14.0, 999.9,   87.8*,  74.3 , 0.00G,999.9, 000000,
844520,99999, 20170210,   79.2,24,   75.4,24, 1011.8, 8, 1008.4, 8,   6.2,19,   6.1,24,  11.1, 999.9,   88.5 ,  75.2 , 0.00I,999.9, 000000,
844520,99999, 20170211,   80.1,24,   73.1,23, 1012.1, 7, 1008.7, 7,   6.2,18,   6.3,24,  15.0, 999.9,   86.0*,  74.8 , 0.00I,999.9, 000000,
844520,99999, 20170212,   79.5,24,   71.4,24, 1010.7, 8, 1007.2, 8,   6.2, 8,   9.5,24,  14.0, 999.9,   87.8 ,  73.4*, 0.00I,999.9, 000000,
844520,99999, 20170213,   79.7,24,   72.0,24, 1010.3, 8, 1006.8, 8,   6.2,13,   6.3,24,  13.0, 999.9,   87.8 ,  73.4 , 0.00I,999.9, 000000,
844520,99999, 20170214,   80.9,24,   72.6,24, 1011.1, 6, 1007.7, 6,   6.2, 8,   5.5,24,  13.0, 999.9,   88.5*,  75.2*, 0.00I,999.9, 000000,
844520,99999, 20170215,   81.9,23,   75.6,23, 1012.2, 8, 1008.8, 8,   6.6,17,   5.5,23,  15.9, 999.9,   89.6*,  76.1 , 0.00I,999.9, 000000,
844520,99999, 20170216,   82.0,23,   73.8,23, 1013.5, 7, 1010.0, 7,   6.2,13,   7.7,23,  15.9, 999.9,   90.1 ,  75.2 , 0.00I,999.9, 000000,
844520,99999, 20170217,   81.4,24,   74.2,24, 1013.6, 8, 1010.1, 8,   6.2,15,   7.0,24,  12.0, 999.9,   89.6*,  75.9 , 0.00I,999.9, 000000,
844520,99999, 20170218,   81.1,24,   75.1,24, 1013.0, 7, 1009.5, 7,   6.2,15,   8.4,24,  14.0, 999.9,   89.6 ,  75.2 , 0.00I,999.9, 000000,
844520,99999, 20170219,   81.2,24,   73.1,24, 1011.5, 7, 1008.1, 7,   6.2, 9,   8.3,24,  15.0, 999.9,   89.6 ,  75.2 , 0.00I,999.9, 000000,
844520,99999, 20170220,   80.8,24,   74.6,24, 1012.1, 8, 1008.6, 8,   6.2,14,   8.1,23,  14.0,  24.1,   89.2 ,  75.0 , 0.00I,999.9, 000000,
844520,99999, 20170221,   81.1,24,   71.5,24, 1012.8, 8, 1009.3, 8,   6.2,11,   8.5,24,  15.0, 999.9,   89.6*,  74.8*, 0.00I,999.9, 000000,
844520,99999, 20170222,   81.1,24,   73.7,24, 1011.0, 7, 1007.6, 7,   6.1,13,   7.7,24,  14.0, 999.9,   90.3 ,  75.2 , 0.00I,999.9, 000000,
844520,99999, 20170223,   82.1,24,   73.1,24, 1010.8, 7, 1007.3, 7,   5.7,20,   6.5,24,  14.0, 999.9,   90.5 ,  77.0 , 0.00I,999.9, 000000,
844520,99999, 20170224,   81.5,24,   73.7,24, 1011.2, 7, 1007.7, 7,   6.2,11,   7.2,24,  14.0, 999.9,   90.7 ,  75.9 , 0.00I,999.9, 000000,
844520,99999, 20170225,   81.7,24,   73.8,24, 1011.2, 8, 1007.7, 8,   6.2,13,   6.4,24,  14.0, 999.9,   90.1 ,  75.2 , 0.00I,999.9, 000000,
844520,99999, 20170226,   82.2,24,   73.1,24, 1011.2, 8, 1007.7, 8,   6.2,19,   6.1,24,  12.0, 999.9,   90.9 ,  75.7 , 0.00I,999.9, 000000,
844520,99999, 20170227,   82.0,24,   74.1,24, 1012.1, 8, 1008.6, 8,   6.2,14,   6.2,24,  13.0,  24.1,   91.4 ,  74.7 , 0.08G,999.9, 000000,
844520,99999, 20170228,   83.0,24,   75.7,24, 1011.1, 8, 1007.6, 8,   6.2,21,   8.6,24,  15.9, 999.9,   91.6 ,  77.7 , 0.00G,999.9, 000000,
844520,99999, 20170301,   82.9,24,   74.6,24, 1009.3, 7, 1005.9, 7,   6.2,16,   8.1,24,  15.0, 999.9,   91.8 ,  77.9 , 0.00I,999.9, 000000,
844520,99999, 20170302,   82.6,24,   74.3,24, 1009.4, 7, 1005.9, 7,   6.2,19,   7.7,24,  13.0, 999.9,   89.6*,  77.0*, 0.00I,999.9, 000000,
844520,99999, 20170303,   82.8,24,   73.9,24, 1009.7, 8, 1006.3, 8,   6.2,18,   7.5,24,  14.0, 999.9,   91.0 ,  77.0*, 0.00I,999.9, 000000,
844520,99999, 20170304,   81.2,24,   76.0,24, 1009.7, 7, 1006.2, 7,   6.1,18,   6.0,24,  11.1, 999.9,   91.4 ,  76.1 ,99.99 ,999.9, 010000,
844520,99999, 20170305,   80.5,24,   77.2,24, 1009.2, 7, 1005.7, 7,   6.2,24,   5.0,24,  12.0, 999.9,   89.6 ,  75.2 , 0.24G,999.9, 010000,
844520,99999, 20170306,   80.9,24,   76.0,24, 1008.8, 7, 1005.3, 7,   6.0,18,   5.3,24,  14.0, 999.9,   89.6 ,  75.2*, 0.12G,999.9, 010000,
844520,99999, 20170307,   82.1,24,   76.1,24, 1009.2, 6, 1005.8, 6,   6.2,22,   7.2,24,  13.0, 999.9,   90.0*,  77.0 , 0.00G,999.9, 000000,
844520,99999, 20170308,   80.4,24,   74.3,23, 1010.2, 7, 1006.8, 7,   6.2,24,   6.2,24,  14.0, 999.9,   91.0 ,  75.2*, 0.04G,999.9, 010000,
844520,99999, 20170309,   79.7,24,   74.4,24, 1010.5, 8, 1007.0, 8,   6.2,15,   6.4,24,  11.1, 999.9,   88.7 ,  75.2 , 0.00G,999.9, 000000,
844520,99999, 20170310,   80.1,24,   73.5,24, 1010.1, 6, 1006.7, 6,   6.2,24,   4.8,24,  11.1, 999.9,   88.7 ,  75.2 , 0.02G,999.9, 010000,
844520,99999, 20170311,   81.9,24,   72.7,24, 1010.4, 7, 1006.9, 7,   6.2, 9,   5.6,24,  11.1, 999.9,   89.6*,  75.9 , 0.00G,999.9, 000000,
844520,99999, 20170312,   82.7,24,   72.4,24, 1010.2, 8, 1006.7, 8,   6.2,19,   5.2,24,  11.1, 999.9,   89.6*,  77.9 , 0.00I,999.9, 000000,
844520,99999, 20170313,   80.0,24,   73.6,24, 1010.1, 7, 1006.7, 7,   6.0,24,   6.0,24,  11.1, 999.9,   90.5 ,  73.4*, 1.02G,999.9, 010000,
844520,99999, 20170314,   77.8,18,   74.1,18, 1012.0, 7, 1008.4, 7,   6.2,15,   5.9,18,   8.9, 999.9,   89.6 ,  73.6 , 0.24G,999.9, 010000,
844520,99999, 20170315,   79.4,22,   74.4,22, 1012.6, 6, 1009.2, 6,   6.2,22,   4.1,22,  25.3, 999.9,   86.9 ,  73.4 , 1.18G,999.9, 010000,
844520,99999, 20170316,   80.0,22,   74.1,22, 1011.9, 5, 1008.5, 5,   6.2,14,   3.3,22,   8.9, 999.9,   87.8*,  75.2*, 0.35G,999.9, 000000,
844520,99999, 20170317,   81.7,24,   74.9,24, 1011.7, 8, 1008.2, 8,   6.2,24,   4.6,24,   9.9, 999.9,   87.8*,  75.2*, 0.00G,999.9, 000000,
844520,99999, 20170318,   81.8,24,   75.7,24, 1011.0, 7, 1007.5, 7,   6.2,24,   5.1,24,  11.1, 999.9,   88.0 ,  75.6 , 0.12G,999.9, 010000,
844520,99999, 20170319,   80.2,24,   74.9,24, 1012.0, 7, 1008.6, 7,   6.2,22,   4.2,23,  13.0, 999.9,   89.6 ,  74.7 , 0.16G,999.9, 010000,
844520,99999, 20170320,   80.8,24,   75.0,24, 1011.9, 8, 1008.4, 8,   7.3,23,   4.9,24,   9.9, 999.9,   87.8 ,  74.7 , 0.09G,999.9, 000000,
844520,99999, 20170321,   81.4,24,   74.5,24, 1011.2, 6, 1007.8, 6,   6.2,17,   4.7,24,  13.0, 999.9,   87.8*,  77.0*, 0.00G,999.9, 010000,
844520,99999, 20170322,   81.3,24,   74.7,24, 1011.2, 7, 1007.7, 7,   6.2,23,   6.9,24,  14.0, 999.9,   88.0 ,  77.9 , 0.00G,999.9, 010000,
844520,99999, 20170323,   82.2,24,   73.7,24, 1011.8, 8, 1008.4, 8,   6.2,19,   4.8,24,  14.0, 999.9,   91.4*,  76.5 , 0.00I,999.9, 000000,
844520,99999, 20170324,   81.6,24,   74.1,24, 1011.4, 8, 1008.0, 8,   6.2,19,   6.6,24,  12.0, 999.9,   93.2 ,  77.0*, 0.00I,999.9, 000000,
844520,99999, 20170325,   80.5,24,   73.5,24, 1011.3, 8, 1007.9, 8,   6.2,24,   5.9,24,  15.9, 999.9,   88.7 ,  75.2 , 0.00I,999.9, 000000,
844520,99999, 20170326,   80.9,24,   72.6,24, 1011.8, 7, 1008.4, 7,   6.2,21,   6.7,24,  15.9, 999.9,   88.9 ,  76.6 , 0.00I,999.9, 000000,
844520,99999, 20170327,   80.6,24,   72.8,24, 1012.4, 6, 1008.9, 6,   6.2,22,   5.1,24,  14.0, 999.9,   87.8*,  75.2*, 0.00G,999.9, 010000,
844520,99999, 20170328,   81.9,24,   72.7,24, 1010.7, 7, 1007.3, 7,   6.2,18,   9.6,24,  17.1, 999.9,   88.3*,  75.9 , 0.00I,999.9, 000000,
844520,99999, 20170329,   80.7,24,   71.8,24, 1010.5, 8, 1007.0, 8,   6.2,19,  12.5,24,  18.1, 999.9,   89.6 ,  77.0*, 0.00I,999.9, 000000,
844520,99999, 20170330,   79.0,24,   70.8,24, 1010.9, 8, 1007.4, 8,   6.2,23,   6.9,24,  15.0, 999.9,   87.4 ,  69.3 , 0.00I,999.9, 000000,
844520,99999, 20170331,   77.8,24,   71.6,24, 1012.5, 7, 1009.0, 7,   6.0,21,   4.9,24,  11.1, 999.9,   87.6 ,  73.0 , 0.08G,999.9, 010000,
844520,99999, 20170401,   78.4,24,   70.1,24, 1012.3, 7, 1008.8, 7,   6.2,15,   7.9,24,  19.0, 999.9,   86.0*,  73.0 , 0.03G,999.9, 010000,
844520,99999, 20170402,   76.9,24,   68.8,24, 1011.9, 8, 1008.4, 8,   6.2,16,  12.0,24,  19.0, 999.9,   86.7 ,  71.6*, 0.00G,999.9, 000000,
844520,99999, 20170403,   76.6,24,   68.2,24, 1010.4, 8, 1007.0, 8,   6.2,14,   9.2,24,  17.1, 999.9,   86.0 ,  71.4 , 0.00I,999.9, 000000,
844520,99999, 20170404,   76.7,24,   68.1,24, 1010.7, 8, 1007.3, 8,   6.2,18,  10.3,24,  19.0, 999.9,   86.0*,  67.8 , 0.00A,999.9, 000000,
844520,99999, 20170405,   75.7,24,   67.0,24, 1010.1, 8, 1006.6, 8,   6.2,15,  12.3,24,  19.0, 999.9,   85.5 ,  71.2 , 0.00I,999.9, 000000,
844520,99999, 20170406,   76.2,24,   67.2,24, 1010.9, 7, 1007.5, 7,   6.2,11,   9.8,24,  18.1, 999.9,   84.2*,  69.8*, 0.00I,999.9, 000000,
844520,99999, 20170407,   76.9,24,   66.6,24, 1011.2, 8, 1007.7, 8,   6.2, 9,  10.3,24,  20.0, 999.9,   86.0 ,  70.5 , 0.00I,999.9, 000000,
844520,99999, 20170408,   78.5,24,   67.0,24, 1011.3, 8, 1007.8, 8,   7.0, 8,   8.0,24,  15.9, 999.9,   86.9 ,  72.9 , 0.00I,999.9, 000000,
844520,99999, 20170409,   77.8,24,   67.0,24, 1011.0, 7, 1007.5, 7,   6.2,20,   8.8,24,  15.0, 999.9,   86.7 ,  67.6 , 0.00I,999.9, 000000,
844520,99999, 20170410,   79.0,23,   67.0,23, 1011.0, 7, 1007.5, 7,   6.2, 7,   9.3,23,  15.9, 999.9,   86.4 ,  73.4 , 0.00I,999.9, 000000,
844520,99999, 20170411,   77.2,23,   67.6,23, 9999.9, 0, 9999.9, 0, 999.9, 0,  11.9,23,  15.0, 999.9,   86.5 ,  73.4*, 0.00I,999.9, 000000,
844520,99999, 20170412,   76.1,24,   68.0,24, 1009.8, 8, 1006.4, 8,   6.2,12,  10.7,24,  15.9, 999.9,   86.9 ,  71.6*, 0.00I,999.9, 000000,
844520,99999, 20170413,   76.7,24,   68.0,24, 1009.7, 8, 1006.2, 8,   6.2, 9,   9.9,24,  15.9, 999.9,   85.6 ,  71.1 , 0.00I,999.9, 000000,
844520,99999, 20170414,   76.1,24,   67.8,24, 1009.7, 8, 1006.3, 8,   6.2,13,   9.3,24,  15.9, 999.9,   86.2 ,  69.1 , 0.02G,999.9, 000000,
844520,99999, 20170415,   75.5,24,   67.3,24, 1009.4, 7, 1006.0, 7,   6.2, 7,  13.1,24,  19.0, 999.9,  102.6 ,  69.8 , 0.00G,999.9, 000000,
844520,99999, 20170416,   75.6,24,   66.6,24, 1010.8, 8, 1007.3, 8,   6.2,16,  11.8,24,  15.0, 999.9,   86.0*,  69.4 , 0.00I,999.9, 000000,
